,Compound,Negative,Neutral,Positive,Time Stamp,Tweet Text,Tweets Ago,Twitter Handle,User
26,-0.14940740740740743,0.8201481481481481,0.13462962962962963,0.045222222222222226,Tue Sep 11 14:12:53 +0000 2018,"""You just need to endure catching fire and keep walking.""

Why torch-bearing can be a risky business in a North Kor… https://t.co/EGHCT8Zy4R",26,@BBCWorld,BBCWorld
27,-0.1440714285714286,0.8265714285714285,0.12982142857142856,0.04360714285714286,Tue Sep 11 13:51:16 +0000 2018,Trump marks 9/11 anniversary at Pennsylvania memorial https://t.co/V5YYWEDTQM,27,@BBCWorld,BBCWorld
28,-0.13468965517241382,0.8167586206896552,0.1319655172413793,0.05127586206896552,Tue Sep 11 13:24:49 +0000 2018,RT @BBCNews: Mac Miller death: Charlie Puth 'tried to help' rapper get clean https://t.co/gMr3ANTQaK,28,@BBCWorld,BBCWorld
29,-0.14488000000000004,0.8147333333333333,0.1357,0.04956666666666667,Tue Sep 11 13:24:28 +0000 2018,US-backed force attacks last IS pocket in eastern Syria https://t.co/6PlXhPpEc3,29,@BBCWorld,BBCWorld
30,-0.14433548387096778,0.8081612903225807,0.1386451612903226,0.05319354838709677,Tue Sep 11 12:57:13 +0000 2018,Remembrance ceremony at Ground Zero in New York to honour victims of the 9/11 attacks https://t.co/LfFj7UOWsS… https://t.co/iF46SSH5R6,30,@BBCWorld,BBCWorld
31,-0.139825,0.81415625,0.1343125,0.05153125,Tue Sep 11 12:55:05 +0000 2018,"RT @BBCWorld: 'Crack pipe' vending machines found in Long Island, NY https://t.co/bGFRB86eS3",31,@BBCWorld,BBCWorld
32,-0.13558787878787879,0.8197878787878788,0.13024242424242424,0.04996969696969697,Tue Sep 11 12:54:43 +0000 2018,"'Crack pipe' vending machines found in Long Island, NY https://t.co/bGFRB86eS3",32,@BBCWorld,BBCWorld
33,-0.14755000000000001,0.814264705882353,0.13723529411764707,0.0485,Tue Sep 11 12:31:57 +0000 2018,Speeding India bus plunge kills 53 https://t.co/ORNYFnGaOp,33,@BBCWorld,BBCWorld
34,-0.15179142857142858,0.8048857142857143,0.14085714285714288,0.05425714285714286,Tue Sep 11 12:20:48 +0000 2018,Marcelo: Real Madrid defender 'admits tax fraud' in Spain https://t.co/DRNyTZZBRJ,34,@BBCWorld,BBCWorld
35,-0.147575,0.8103055555555556,0.13694444444444445,0.05275,Tue Sep 11 11:44:10 +0000 2018,Kulsoom Nawaz: Ex-Pakistan PM's wife dies in London https://t.co/CmyhXNEU5C,35,@BBCWorld,BBCWorld
36,-0.1435864864864865,0.8154324324324325,0.13324324324324327,0.05132432432432432,Tue Sep 11 11:10:32 +0000 2018,😳 https://t.co/0fxu5t7Yax,36,@BBCWorld,BBCWorld
37,-0.12304736842105264,0.8163684210526316,0.12973684210526318,0.053894736842105266,Tue Sep 11 10:50:42 +0000 2018,"RT @BBCNews: Pup stars 🎬🐶🌟

What does it take to get your dog in the movies?

https://t.co/HsDfX2nP16

(Tap your screen for best view on mo…",37,@BBCWorld,BBCWorld
38,-0.11596666666666668,0.8114615384615386,0.1306923076923077,0.05784615384615385,Tue Sep 11 10:48:04 +0000 2018,"Hurricane Florence: President Trump issues warning as storm strengthens

https://t.co/0AQbYuh3ZC https://t.co/pMz6YV0oNh",38,@BBCWorld,BBCWorld
